ID,TEXT,LABEL
31,الست مش ملزمه   الست كشكول,1
32,"مرحباً..انك تزور بالي في هذا الوقت الماطر تحديداً،انك تعبث بعقلي وقلبي كأنك تملكني جميعي.",0
33,"""RT @AlkhaleejOnline: ملايين اليهود الأمريكيين يستعدون لاحتجاج واسع ضد ""إسرائيل""https://t.co/djZO6YdR2A""",0
34,هو مش المفروض لما تشارلز طلق ديانا واتجوز كاميلا كده اتحرم من العرش وابنه ويليام هو اللى يبقى ملك 🤔,0
35,راضيه القليل منك كتير فعينها و الكتير من غيرك مالوش لازمة عندها وكلمتك الحلوة عندها تسوى الدنيا  بنات الأصول لما بيدخلوا البيوت بيضحوا بكل شئ  واي شئ و بيتحملوا أي صعب عشان البيت  و الراجل اللي حبها واختارها دوناً عن بنات العالم ..   بنات الأصول في الزمن ده اغلى م الدهب و الياقوت,0
36,#توفيق_عكاشة بيحكي عن هيفا وهبي هههه!دي كلها عمليات تجميل امبارح شفت صورها ع النت قبل التجميل دي تقرف عشان تعرفو احن…,0
37,يعني مصر كانت كافرة أيام الفاطميين؟,1
38,هتعرفو تعالجو مو صلاح ولا ناخد ابننا نعالجه عندنا في القصر العيني,1
39,_ختام الدور الثاني من البطولة وتقام المواجهات اليوم الترضية 9:00أستراليا:الصين 11:00الهند: أوزبكستان الدور الرئيسي 11:00السعودية:كوريا الجنوبية 11:00إيران :عمان 13:00قطر :الإمارات 13:00اليابان:البحرين,0
40,"""RT @dughsan781: #ال_سعود_ عدو_لي_ولكل يمني ولكل عربي ولكل مسلم#ال_سعود أعداء الامه العربيه والاسلاميه#ال_سعود_أسرة_ارهابية_تنشر_الارهاب_وال…""",0
41, انا عندي حنين ما بعرف لمين ..ليلي بيخطفني من بين السهرانين💔 فيروز ,0
42,الانسان مش مُلزم ب اي حاجه غير انه يخليه ف نفسه,0
43,"""شوف المعادلة ( التآمرية للكلب #كيري ) : انه سلم خطة ل #لافروف ليوصلها الى #إيران من اجل تسوية في #سوريا .. والله لن يحرر #سوريا الا #الثوار""",0
44,عايزه نمتحن ونخلص عشان حاسه ان الدراسه معطلانى عن مستقبلى,0
45,#اللهم افضحهم جميعاً وهم: #بوتين الاستخباراتي المحتل #أوردغان الثعلب المراوغ #بشار وشبيحته العملاء #روحاني وملحقاته في البيت الخرب #كافة الجماعات الإرهابية والممولة من جهات معلومة #اللهم انصر الإسلام والمسلمين في مشارق الأرض ومغاربها على أعدائهم وعملائهم,0
46,• .  الماضي اللي بيننا صعب ينعاد         لو نلتقي حتى بـ نفس الاماكن !,0
47,   ما ھو الدلیل على أن مصر بلد الأمان؟       الدلیل إ قلة نسبة الجرائم,0
48,"""كانت مدرستي مختلطة لمن الثانوية ☺  #ماذا_لو_المدارس_مختلطه""",0
49,المديره دى صعبة خالص طبلها علشان تعدى يومك,1
50,"""#MannequinChallenge انا خلوا حياتي نفسه تثبت على مود محدد عشان انا اثبت""",0
51,"أكبر غلط سوته وزارة الصحة راهنت على وعي أهل الرياض .. ومع الأسف مازال بعضهم يشجع الهلال
😷😷😷😂😂😂😂",1
52,تدور أحداث الاسكتش عن مجموعة أفراد يتظاهرون بأشكال متناقضة,0
53,"""ابتدائية الجامعة الأهلية تحتفي باليوم العالمي للغة العربية تحت شعار(تعزيز انتشار اللغة العربية) - صحيفة الخرج أون … https://t.co/aPHFJDDPBw""",0
54,"سامح عاشور نقيب المحامين: ""الإخوان المسلمين لا يسيطرون على مفاصل نقابة المحامين، وأنا ضد شطب المحامين الإخوان لأنهم إخوان فقط, خليهم بروح أمك جنبك , طالما الحكومة راضية عنك. دول إرهابيين يابن الوسخة عالصبح , إرهابيين لازم تلبس منهم خازوء عشان تعرف إنهم إرهابيين؟  ",1
55,  عادل اماممن اخر حلقة في مسلسل مأمون و انا حاسس انك هتموت السنادي ,0
56,"""RT @AljamalSalma: كيف وبأي عين ستظهر زوجة وابنة #ترامب لمساندته ودعمه مجدداً في حملته الانتخابية مع هذا الفكر المريض الذي يحمله عن المرأة.…""",0
57,صباح الخير..... المرأة مش ملزمة بايه انهادره؟ 🤔,1
58,ياجماعة الريس طالب ضمانات عشان الحوار يتذاع اولا ان باسم يوسف ينام الريس مستنى قرر باسم بس شكل باسم هيعملها ولا اية,1
59,"""RT @rasha_mya: #السيسي_حليف_بشار_الاسدوإيه الجديد!!القاتل واحد..والهدف واحد جنون السلطة والحكم#جنرالات يقتلون شعوبهم تحت مسمى محاربة الإ…""",0
60,"""#SuperMarioRunحسافه اني تحمست لها""",0
61,"#الحب_هو اهتمام، تنازل، كلام، احترام، فعل، دعاء، تغاضي، عتاب، تسامح !",0
62,"""مصادر لـ العرب : زيارة خالد الفيصل لـ #لبنان ..دعم سعودي مقابل عدم الارتماء في احضان المحور الإيراني https://t.co/5xx2q4ICPP""",0
63,مع كورونا صرت لما اجلس مع أمي العصرية تعطيني العلوم والاخبار والله أمي بطلة معد احتاج اشوف تقرير وزارة الصحة اخذ منها الملخص كامل ومعه نصايح وجلد😂🥰😅,1
64,_سياسي_ بالاستجواب؟ وزير الاشغال الأمطار التي هطلت على البلاد تقدر نسبتها من 20 إلى 66 ملم وتعاملنا معها علمياً وليس عاطفياً,0
65,طيب واحدة واحدة افهم بس... منين كنا بنتريق من يومين على تريند الست الي مش ملزمة تطبخ وترضع والفرخة الي مش ملزمة تبيض ومنين خايفين على حرية ايه مفهوم الحرية؟ محدش يسأل عني ولا يخلي باله مني؟امشي بدماغي صح غلط مشورش حد يخاف عليا؟ اعيش باقي عمري لوحدي محدش يسندني لو وقعت أو تعبت!!,1
66,شفت فيديو موتني من الضحك في قناة الحافظ المذيع بيقول بلال فضل كاتب القافلة تبكي والخرفان تسيرواخد بالك قصده إيه فالشيخ رد يقصد الإخوان طبعا,1
67,اعلانات توعيه عن الحجاب مرفوضه وفيها شبها وتطرف واعلانات الفاشنيستات وجايينكم والي ماعندهم اي هدف بالحياه عادي ومقبوله  ,0
68,"""#السودان #sudan سولانج.. شقيقة بيونسيه تتصدر بيلبورد الأميركية: أبوظبي - سكاي نيوز عربية تصدرت… https://t.co/mlgMJQB6cn #السودان #sudan""",0
69,ده مش جيل 54 زى ما هيكل كان فاكر ده جيل 25 يناير ورابعة جيل العزة والكرامة والصمود صورة للأسود في الزنزانة …,0
70,"د أبو الفتوح : مشروعي يتركز في أربعة محاور، أولها الاهتمام بالتعليم والبحث العلمي لان هذا هو الباب للتقدم ونقل",0
71,هي اجى الي بتكرهه,0
72,#نازلين_٣٠_٦_بالكمامات    لمن ينزل  حط الكمامه علي  مؤخرتك لمصلحتك !,1
73,"""#الناتو سيجتمعون من اجل مراقبة تحركات #تركيا مؤخرا وتقاربها مع #روسيا في حال تتطور سيتم اقصائها مرحليا""",0
74,بقى شكلنا وحش فى عيون أزواجنا بعد ما شافوا جمالكم,1
75,#ﺣﻤﺪﻳﻦ_ﻋﺎﻭﺯ_ﻳﺤﺎﻛﻢ_ﺍﺳﺪ_ﺍﻟﻌﺮﺏ برضو #سأنتخب_السيسى_و_مش_هنزل_لمستواك,0
76,"""الإعلام الموجه أكبر المؤثرات في ثقافة الشعوب مهما اختلف ما تعتنقإليس الإعلام الغربي هو من صنع من الدب المفترس الدبدوب الحبوب ورمز اللطافة ؟""",1
77,ربنا يأذيك لوظنيت فينا ظن سئ,0
78,شكل الريس مرسي موش هيخلي حد محترم في البلد الأسلامجيه بيفشخوا المدنيه والمدنيه بيفشخو الأسلامجيه ومدنيه فشخوا بعض وأسلامجيه فشخوا بعض,1
79,الحق يتقال المفروض الكتاب يبقى انجازات خيرت ...مرسى فى الاول والاخر استبن.,1
80,"""#نجم بروسيا دورتموند عثمان ديمبلي يعرب عن رغبته في اللعب في برشلونةhttps://t.co/GQRQA3d7QB@egyptiontoday""",0
81,"""#احمد_شفيق هو الوحيد القادر علي تحريك الركود السياسي في البلاد و مواجهة #السيسي في 2018 ..ده واقع سواء بتكرهه او بتحبه""",0
82,ياعني الشذوذ حريه رأي تستحق الدفاع عنها بس الحجاب خيار مخلل؟,1
83,"""RT @a10892944: انتي ممحونه انتي .. انتي تنزلي صور ولاد وتقولي هييييح انتي 😂غوتشي غوتشي غوتشي 😁""",1
84,"""#مجلة_النجوم3 النجمة الذهبية #نوال_الزغبي @NawalElZoghbi في احدث اطلالتها عبر الانستغرام❤❤❤https://t.co/xdtAXcT8E5 https://t.co/THnmfOknr4""",0
85,"""هيلاري كلنتون يوم كانت مراهقه 🌝1969 https://t.co/vHPCC3mmzc""",0
86,سؤال مهم محتاجة اطرحه على ابنائنا في مجال الهندسة وأخص بالذكر بتوع عمارة والمكتب الفني:  هل الناس كلها رجعت شغلها بعد العيد في الأسبوع اللي الحكومة فرضت فيه الكمامة إجباري وقالك انزلوا مشاغلكم واي حاجة تلوشك سيبها تلوشك وكده ولا لا؟   نستقبل الشكاوي والمقترحات والاجابات 😂🤝,1
87,الدكتور حازم الببلاوى طلع اخوان--------------هههههههههههههههه #الببلاوي: اعتبار الإخوان جماعة إرهابية كان قرارا,1
88,"""#اليمنية| قيادي عسكري بـ #تعز: #الحوثيون يواصلون القصف المدفعي على الأحياء السكنيةhttps://t.co/vQltBMfZid#التحالف_العربي_سند_اليمن""",0
89,"""@Hassan_Aljassmi @ALMRISEUL بوتوكي لا احسن قل يا بوكيمون 🍾😂""",0
90,"""الف الحمدلله .. و يا رب تكون النهايه سعيده ويمرء العيد على خير وننبسط بـ نادين والمسلسل والنهايه والعيد 🙏🏻🙏🏻… https://t.co/FEyJDtkU0Q""",0
91,"""أرسل المغني بوب ديلان الفائز بجائزة نوبل للأدب رسالة  يشكر فيها الأكاديمية السويدية و وصف هذا المنح بأنه شرف يضاهي ""الوقوف فوق القمر""""",0
92,"""اشرايج ف ج-ز؟؟ انييبه بس عشان يغني ٩٩ مشكله ولا يغني مع بيونسيه !!! https://t.co/8bn15JE19W""",1
93,وجهها مثل الركبة و تقول تحرش 😂.,1
94,"""@alfheedA اخي احمد يجب ان نصحح معلومة الاستاذ #عمرو_أديب ان اغرب بلنتي هو ما احتسب خارج منطقة الجزاء للنصر السعودي… https://t.co/rvxJVLGR1f""",0
95, اجل اسقطت ساركوزي 😂 😂 😂 😂,1
96,الولد اللي بيقبل يتشتم ب امه حتى لو هزار و يقلب الدنيا لو حد جاب اسم صاحبته بس #استرجل كده عشان امك اللي بقيالك و تعبت عشانك,0
97, يا أمتي والحزن يعصرني علام الانحناء ما بال رحلتك انتهت وخلعت ثوب الكبرياء .. ؟؟ لو كان يسعفني البكاء لمت من فرط البكاء بغداد  القدس  دمشق ,0
98,الراجل مش ملزم يتجوز واحده .,1
99,نفاق الجموع من آفات مجتمعاتنا فالكثير يعبرون عن مواقفهم في جلساتهم الخاصة ومكالمات الهاتف بينما ينافقون الجماهير في العلن خوفا على شعبيتهم!,0
100,حقيقة😋🌺  المرأة هى علامة اعراب للرجل  ترفعه  تضمه  تكسره. فإن عز كرامتها عزته ورفعته وإن وهبها قلبه الصادق ضمته فى حنايا روحها  لكن إن خذلها كسرته  فلا محل له من الإعراب . هذه هى المرأة عزها وكن لها الحياة تكن لك جنة.,0
101,"""خطوة رائعة للحفاظ على هيبة ونقاوة الحدث #كاسترو زعيم له جماهيره الواسعة https://t.co/9EXEc6lDpc""",0
102,بيجي فتره كدا ثقة الانسان بتتهز في كل حاجه حواليه في اختياراته  أصحابه  أهله حتي ثقته في نفسه وفي قدرته  ميبقاش عارف يتصرف ازاي او يعمل ايه ف حياته مبقاش واثق حتي انه يقدر يضيف حاجه في حياته الدراسيه او المهنيه او حتي الشخصيه او يضيف حاجه ف الحياه عموماََ اهو انا بقى ف الفتره د,0
103,بعد وفاة ملكة إنجلترا أنا أتوقع عودة هاري وميجان الي إنجلترا,0
104,"افرحو يا جماعه خلاص رئيس المكافحه ووزيرة الصحه قررو يخلصو علينا ، صفر اصابات يقصدو ان مش هيبقى فيه شعب يصاب والباقيين هيسكنو سفينة فيلم ماتريكس 😂😂😂😂😂😂 https://t.co/YnrmUq8rxG",1
105,مغامرات مرسى فى البرازيل- من صفحة ع الفيسبوك ههههههههههههههههههههه   #مرسى,1
106,الواحد لو بينفذ المشاريع اللي بيفكر فيها هينافس ايلون ماسك😂,1
107,بدأت اتفرج على سلسلة هاري بوتر وحقيقي الواحد حاسس في أنه في عالم موازي كله سحر وجمال   واسترجعت ذكريات طفولتي لما كنت بستني قناة دبي تعرض أي جزء جديد من السلسة 💙,0
108,"""الاغنية اللي سوالها كفر جستن بيبر وهي سبب نجاحه بعد الله سبحانه  احترام لملكات البوب https://t.co/qn6PQJhJlp""",0
109,حامل في السادس وماكنتش ملاحظ ده قبل الجواز طب وبالنسبة لليلة الدخلة.,1
110,#أردوغان: لن نتراجع عن عملية #عفرين وهناك اتفاق مع #روسيا,0
111,"""J'aime une vidéo @YouTube de @emmysamir2002 - ريكى مارتن وحبيبه السورى ايوان يوسف تعرفوا عليه""",0
112,"#سبلة لان اليوم لي  ما يدوسوش فيه ارضنا #مكسب واليوم لي ما #يخشوش فيه بحرنا مكسب ""ﺍﻻﺥ ﻗﺎﺋﺪ ﺍﻟﺜﻮﺭﺓ ﻣﻌﻤﺮ ﺍﻟﻘﺬﺍﻓﻰ""",0
113,"""RT @ajmubasher: #أوباما : على المواطنين الإسراع في التسجيل في الانتخابات التمهيدية وإعطاء #ترامب درسا قويا""",0
114,"رمضان صبحى يحتفل بعيد ميلاد ابنه زين: عيد ميلاد سعيد زنزونا""",0
115,بقالي ٢١ سنه حياتي مفيهاش غير الدراسة   حياتي كلها متأجله بسببها   عاوزه اتخرج بكرة بالكتير .,0
116,"""@fdeet_alnssr  دائما الاعلام الغربي ينصف السعوديه في حين بعض قنواتنا علينا قاسيه شوي .""",0
117,"""RT @feisal_amnah: وهو عالق تحت الانقاض بجانب جثمان أخيه يحالون اسعافهوكأن حال لسانه يقول أنا الذي أموت لا أنت ""تعجز الكلمات عن وصف معانات…""",0
118,"""إذا فتحت أي أغنية أجنبية عاليوتيوب وشغلت الأوتو بلاي حينتهي بك المطاف لأغاني جستن بيبر لامحالة.#مغص""",1
119,ملزمه ومش ملزمه ايه بس يجماعه انا يوم ما ألاقى الشخص ال يستاهل قلبى ويتقى ربنا فيه هفصص له السمك وافرط له الرمان وانقيله البذر م البطيخ والله لو بيضايقه .,0
120,"""المرابطون في المسجد الأقصى الشريف نصرهم الله يحيون مولد النبي ﷺ: #ربيع_الأنور #المولد_النبوي #المالد https://t.co/Xt3C1TPsjm""",0
121,بعد اذن الكورونا هشيل بس الكمامه عشان اشرب عصير القصب ده والبسها تانى 😂🙏💔,1
122,ههههههههههههه #مبارك خرج ههههههههههه ...   :@,0
123,   لیه الواحد لازم يكون عنده لغة في البلد دي؟       منافسه في سوق العمل,0
124,"""RT @hatha15: الحمد لله على نعمة الهدايه لاحظوا الفرق بين الحق والباطل#حميدان_التركي #السعودية_الامارات #حلب #العراق https://t.co/goCoIxsKZV""",0
125,شوية سرسجية مع بعض احنا مالنا نشوف خبر زى دا !!,1
126,"🖥️🛢️ بلغت خسائر العالم من  
جائحة كورونا حوالي  7 تريليون 
دولار  ، من غير  6 ريالات مالي  

اللي شاري فيهن كمامات ، ،😁 #كورونا #كوفيد_19",1
127,"RT @ajmubasher: لمتابعة المناظرة الرئاسية الثانية بين المرشحة الديمقراطية هيلاري #كلنتون ومنافسها الجمهوري #ترامب، اليوم في تمام 4 عصرا بتو…",0
128,#عن صوت يهز كيان الليل ..صفارة استعداد ينتفض لها جسدك ..يعلن فيها جسدك الحرب ضد المجهول يحشد طاقته ليبطش بلاغ كاذب !   القدر ...,0
129,ماهوة يا اترِفِد يا يدوني اجازة اسبوعين بـ راتب,1
130,الناس و هي راكبة المشروع بيلبسوا الكمامة عشان الضباط متعملش مخالفة للسواق مش عشان الكورونا والله😂,1
131,اللي شوفته طول حياتي ان الراجل لما بيكتئب ولا بيتخنق شوية بياخدله اجازة ويسافر مع صحابه/ينزل القهوة/يقعد مفخد في البيت يقرف مراته وعياله  بس الست مينفعش تكتئب  وتنام فالسرير اليوم كله مثلا عشان مين هيغسل ويطبخ وينضف ويذاكر للعيال؟!,0
132,ياعم انت فاكرني جدو اول ما انزل هجيب جون,1
133,"بناء على كل هذا الهَبَل، نستنتج أن المفروض منظمة الصحة العالمية توصي بعدم استخدام كلمة ""ايجابية"" في وصف نتائج أي فحص لأنه يعني مدح وتغزل واستحسان وإشادة وتواطؤ وتخابر مع المرض أو الفيروس 😂",1
134,#الشيخه_موزا_مصدر_فخرنا يقولون في تغريداتهم يمنع الطعن بالأعراض و مايجوز التعدي على الشيخة موزة وأنها بنت كرام وهذا لاشك فيه طبعاً هذي ام شيوخ. لكن تسوي رتويت لحلقة الحربي اللي فيها تهكم هذا وش نسميه,0
135,"""| بى بى سى | كيف استطاعت نساء عربيات النجاح في بريطانيا رغم اختلاف ثقافتها الأم عن الثقافة الأوروبية https://t.co/LrQWbaDz57""",0
136,"""""كله يا سيسي""""",1
137,تحذيرات قوات الأمن لسكان رابعة والمتظاهرين قبل فض الاعتصام #السادة_المحترمون,0
138,يا داخل بين اتنين قريبين مش هينوبك الا البهدلة,0
139,مينفعش يعدي يوم من غير ما تحصل حاجه حلوة,0
140,لعل من حكمة الله اعتقال قيادات  الإخوان الان قبل ان تتسع ثورة  مصر ويتصاعد غضبها ليطهر البلد من كل خائنساعتها لن يقال ال…,0
141,يارب الناس اللي في حياتي تتمسك بيا كدا زي الترم الاول,1
142,"""RT @ashraaf_alsaad: لقاء القمة بين روسيا وتركيا #اردوغان موقف تركيا تجاه #سوريا متناغم مع روسيا لكن #مصر لما رفعت ايدها امس تبقى خاينةht…""",1
143,"""@ama4425 اليمين المتطرف خسر انتخابات النمسا اليوم""",0
144,"""شقيق قيادي في جبهة النصرة هو احد اطراف البازار على حلب https://t.co/lm3xUycmaV""",0
145,ف قرارات جديده عن الدراسه ولا ايه,0
146,#تحذير_الجوال #عاجل  كما وصلني والله أعلم  السلام عليكم إذا وصلكم خبر وفاة حسني مبارك ومعه رابط لا تفتحه؛ لأنه فيروس يعدم الموبايل. أمس أعلنوها في قناة دبي والآن في السعودية. انشر تؤجر ..,0
147,قام الدكتور أشرف صبحي بالتنسيق مع الدكتور محمد مختار جمعة بشأن تعاون مديريات الأوقاف مع مديريات الشباب والرياضة للمشاركة في تنفيذ بروتوكول الصحة الخاصة بفتح دور العبادة #وزارة_الشباب_be_safe,0
148,بوكريم برقبته سبع حريم. تأليف: معمر القذافي ☺  !!,1
149,"""ال سعود يهود العرب.سبب كل مشاكل العرب والمسلمين.علماؤهم .لايفتون بقتال اليهود  #Christmas #الهرمل #الامارات #العدليه https://t.co/yR608caVP2""",1
150,"""@ND_1aa صدر أليسا وجه رؤى الصبان شعر و رشاقه ميريام فارس و مكوه روبيو عيون زينب ذيك المغربيه و الصوت مثل نوال الكويتيه وبس والله""",0
151,طب هقولكوا حاجه كدا حصلت معايا قبل كدا كنا بنروح Stella di mare قبل ما اتحجب ديما ومره واحد قال ممنوع محجبات او مايوه مش بكيني وطلعوني من البسين ساعتها عشان لابسه مايوه شورت كمان وازااااي ابقي كدا ولازم بيكيني وساعتها بابا مسكهم بهدلهم ومعرفش هما لسه بيعملوا كدا لحد دلوقتي ولا لا,0
152,"ف اول لحظات اختفاء الدكتور المفاجئ والبنات يتكلمون ،، جلسنا فاطسين من الضحك الدكتور وين راح ،،، بعدين طولت السالفه وحقيقي بدينا نخاف عن يكون صارله شي ، والبنات يفكروا يرسلوا للدكتور الثاني يروح يشيك عليه ☺️☺️😂☺️الله يعطيهم الصحه والعافيه ويحفظهم للاجيال القادمه يارب",0
153,"""صاير منتشر بشكل ويتفاخرون فيه امس شفت خبر عن المغني ريكي مارتن انه خطب واحد سويدي 😧😥 اعوذ بالله ...  #رونالدو_يعترف_ويفتخر_بالشذوذ""",0
154,ودنك منين يا جحا,1
155,"""RT @_sara_iq: حقهم يا علي داعش يكرهوك لان ربهم هبل و انت حرگت ربهم https://t.co/G4YtF4oPib""",1
156,اكتب يابني تعويم الجنيه مره اخري بسبب وفاة الملكه اليزاييث,1
157,لسانك طويل جدا,0
158,"""الارهاب والكباب""",1
159,ضيفي عليهم سيف الفاتح إختي حارقهم منرفزهم وسيف الفاتح وقريباً سيف الساعة وشبح الفاتح وقاتل المجوس الفاتحي  ,0
160,"""يكفينا فخرا انو بتاريخ هالجمهورية اجا رجال عالرئاسة الاولى اسمو ميشال عون..""",0
161,"""#تفاحه_نيوتن_بكلمتيننيوتن لو رأى الذهبية نوال الزغبي كان الغى قانون الجاذبية و اختصرو بعيون الذهبية #نوال_الزغبي""",1
162,يمكن يكون عنده فرصة لحد بكرة في حالة تزايد عدد المؤيدين للمظاهرات دي في أكثر من ولاية تسمح له باعلان الأحكام العرفية  و تأجيل تسليم السلطة لبايدن! لكن برضو الأمل ضعيف...!  لو السيناريو ده فشل  و كلمة النهاية فيه أظن هتكون بكرة يبقى مفيش قدام ترامب غير سيناريو الحرب الخارجية 😁,0
163,#عاجل| متحدث الرئاسة: الرئيس السيسي يجتمع مع رئيس الوزراء ومساعد رئيس الجمهورية للمشروعات القومية والاستراتيجية وعدد من الوزراء   #eXtranews #الجمهورية_الجديدة #٧_سنوات_من_الإنجازات,0
164,"""#عيد_ميلاد_سعيد_يا_سيسي#اعترف_اني#السعوديات_ثالث_اجمل_نساء_الكون#ثايرون_لن_نستسلم#هل_تتزوج_وحده_تكشف_وجههاالنهارده الخميساحمد الشيخ""",0
165,السوشيال ميديا خلت الناس زي البغبغانات كلهم كوبي بيست من بعض,1
166,"Hamze_Tekin الطيب أردوغان الآن :""أمريكا تطالبنا بتحديد مدة عملية غصن الزيتون... آآآي أمريكا أنت في أفغانستان...",0
167,"وزاره الصحه بتقولك
 اغسل ايدك لمده ٢٠ ثانيه قبل الأكل
امبارح قلت هاريحكم والغدا عليا النهاردة
 عملت فراخ مشويه روحت اغسل إيدي ورجعت 
لقيتهم بيشربوا الشاي😂😂",1
168,  أنصار مرسي يحرقون محكمة ومتحف  ملوي  بالمنيا وأعمال سلب ونهب واسعة بالمدينة,0
169,تشرفت فيكم جميعاً❤️ #Twitter_off,0
170,"ابن زايد على وضح النقا ، لكن انتم تحركم موزه بأصبعها وهي تتقهوى مع ساركوزي",0
171,ومازال المخرج اللبناني مُصر على عدم ظهور الجمهور الكويتي على الشاشة !!؟..,1
172,"""مورينيو يراقب إنييستا الجديد https://t.co/xB9zpFTB5l #غزة #فلسطين""",0
173,"""RT @s_a_i_f_87: التلميذ ليونيل ميسي يتابع اسطورته فهد المولد https://t.co/6pLcCwLggE""",0
174,"""في ذكري مقتل «الدرة».. إسرائيل تتنصل من قتله علي يد جنودها https://t.co/iK664pj9FU""",0
